x,y,median_button,summed_button,summed_button_BGsub,std_button,x_button_center,y_button_center,radius_button_disk,median_button_annulus,summed_button_annulus_normed,std_button_annulus_localBG,inner_radius_button_annulus,outer_radius_button_annulus,xslice,yslice,id,postwash_images
1,10,12661,5538126,3595870,5170,50,47,12,4401,1942256,321,12,12,"(1367, 1467)","(458, 558)",32_8,0
1,10,11400,5048974,3149514,4628,50,47,12,4314,1899460,312,12,12,"(1367, 1467)","(458, 558)",32_8,1
1,10,10128,4531029,2659148,3963,50,47,12,4246,1871881,287,12,12,"(1367, 1467)","(458, 558)",32_8,2
1,10,9074,4112706,2243872,3380,50,47,12,4247,1868834,295,12,12,"(1367, 1467)","(458, 558)",32_8,3
1,10,8364,3763452,1894649,2887,50,47,12,4244,1868803,282,12,12,"(1367, 1467)","(458, 558)",32_8,4
1,10,7504,3419616,1580466,2414,50,47,12,4173,1839150,273,12,12,"(1367, 1467)","(458, 558)",32_8,5
1,10,7030,3193993,1355292,2085,50,47,12,4181,1838701,271,12,12,"(1367, 1467)","(458, 558)",32_8,6
1,10,6604,3013266,1179537,1827,50,47,12,4170,1833729,269,12,12,"(1367, 1467)","(458, 558)",32_8,7
1,10,6202,2830526,1018815,1574,50,47,12,4126,1811711,270,12,12,"(1367, 1467)","(458, 558)",32_8,8
1,10,6055,2738463,910095,1407,50,47,12,4156,1828368,265,12,12,"(1367, 1467)","(458, 558)",32_8,9
1,10,5770,2598021,801180,1256,50,47,12,4079,1796841,262,12,12,"(1367, 1467)","(458, 558)",32_8,10
1,10,5621,2544963,732661,1134,50,47,12,4120,1812302,260,12,12,"(1367, 1467)","(458, 558)",32_8,11
1,10,5496,2466192,658801,1034,50,47,12,4109,1807391,260,12,12,"(1367, 1467)","(458, 558)",32_8,12
1,10,5307,2386006,604473,946,50,47,12,4050,1781533,255,12,12,"(1367, 1467)","(458, 558)",32_8,13
1,10,5214,2355051,552375,871,50,47,12,4100,1802676,255,12,12,"(1367, 1467)","(458, 558)",32_8,14
1,10,5076,2284442,507452,796,50,47,12,4045,1776990,255,12,12,"(1367, 1467)","(458, 558)",32_8,15
1,10,5069,2264663,475746,750,50,47,12,4058,1788917,251,12,12,"(1367, 1467)","(458, 558)",32_8,16
1,10,4983,2217659,444426,699,50,47,12,4031,1773233,249,12,12,"(1367, 1467)","(458, 558)",32_8,17
1,10,4888,2182496,406948,666,50,47,12,4037,1775548,246,12,12,"(1367, 1467)","(458, 558)",32_8,18
1,10,4873,2168320,392609,623,50,47,12,4039,1775711,244,12,12,"(1367, 1467)","(458, 558)",32_8,19
1,11,5520,2460841,554550,856,49,48,12,4365,1906291,237,12,12,"(1466, 1566)","(458, 558)",30_8,0
1,11,5119,2288827,414142,631,49,48,12,4290,1874685,228,12,12,"(1466, 1566)","(458, 558)",30_8,1
1,11,4808,2144665,289913,447,49,48,12,4246,1854752,225,12,12,"(1466, 1566)","(458, 558)",30_8,2
1,11,4703,2077419,216633,314,49,48,12,4265,1860786,225,12,12,"(1466, 1566)","(458, 558)",30_8,3
1,11,4578,2025069,161402,240,49,48,12,4266,1863667,222,12,12,"(1466, 1566)","(458, 558)",30_8,4
1,11,4453,1965172,130525,199,49,48,12,4197,1834647,232,12,12,"(1466, 1566)","(458, 558)",30_8,5
1,11,4416,1953450,112852,175,49,48,12,4210,1840598,216,12,12,"(1466, 1566)","(458, 558)",30_8,6
1,11,4389,1940721,99854,167,49,48,12,4211,1840867,220,12,12,"(1466, 1566)","(458, 558)",30_8,7
1,11,4328,1907362,91813,151,49,48,12,4159,1815549,222,12,12,"(1466, 1566)","(458, 558)",30_8,8
1,11,4355,1921035,79848,144,49,48,12,4216,1841187,219,12,12,"(1466, 1566)","(458, 558)",30_8,9
1,11,4266,1883467,74968,138,49,48,12,4139,1808499,213,12,12,"(1466, 1566)","(458, 558)",30_8,10
1,11,4299,1895627,67072,139,49,48,12,4181,1828555,215,12,12,"(1466, 1566)","(458, 558)",30_8,11
1,11,4281,1889527,70655,139,49,48,12,4161,1818872,212,12,12,"(1466, 1566)","(458, 558)",30_8,12
1,11,4223,1860625,65176,131,49,48,12,4107,1795449,218,12,12,"(1466, 1566)","(458, 558)",30_8,13
1,11,4265,1882423,63966,136,49,48,12,4164,1818457,213,12,12,"(1466, 1566)","(458, 558)",30_8,14
1,11,4214,1857121,63267,137,49,48,12,4109,1793854,212,12,12,"(1466, 1566)","(458, 558)",30_8,15
1,11,4232,1865883,58733,134,49,48,12,4136,1807150,210,12,12,"(1466, 1566)","(458, 558)",30_8,16
1,11,4186,1846120,56076,136,49,48,12,4093,1790044,203,12,12,"(1466, 1566)","(458, 558)",30_8,17
1,11,4185,1842509,53412,129,49,48,12,4088,1789097,209,12,12,"(1466, 1566)","(458, 558)",30_8,18
1,11,4187,1845565,50422,136,49,48,12,4100,1795143,204,12,12,"(1466, 1566)","(458, 558)",30_8,19
